K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
464,1.0,0.01,0.25,6009,-0.01,1.0e-5,0.0,50,50,0.0,9040672,3353869220,694149652,2592384490,5.0e-8
215,1.0,0.01,0.25,6557,-0.01,1.0e-5,0.0,50,11,0.0,3567496808,4204914103,2523783548,2784069568,5.0e-8
464,1.0,0.01,0.25,10421,-0.01,1.0e-5,0.0,50,30,0.0,2150080637,250009379,3980543914,1092023965,0.05
1000,1.0,0.01,0.25,4149,-0.01,1.0e-5,0.0,50,15,0.0,4027371457,3166212433,1257901287,1802993427,0.05
464,1.0,0.01,0.25,5599,-0.01,1.0e-5,0.0,50,33,0.0,1720913728,2908088545,3689113199,1087014634,5.0e-8
215,1.0,0.01,0.25,42641,-0.01,1.0e-5,0.0,50,6,0.0,2522944277,35996161,3392159528,3173492621,0.5
464,1.0,0.01,0.25,10395,-0.01,1.0e-5,0.0,50,46,0.0,4070274568,2429119725,2842013941,563389287,0.05
215,1.0,0.01,0.25,16300,-0.01,1.0e-5,0.0,50,2,0.0,3723573672,3054832459,3168278571,1079222841,0.05
215,1.0,0.01,0.25,12885,-0.01,1.0e-5,0.0,50,9,0.0,836278444,3894265578,1943590936,1756207019,0.05
464,1.0,0.01,0.25,6227,-0.01,1.0e-5,0.0,50,47,0.0,3506244586,3247517069,976138437,3134250850,5.0e-8
100,1.0,0.01,0.25,15596,-0.01,1.0e-5,0.0,50,11,0.0,1354528548,3711648650,419837994,2978745694,0.05
215,1.0,0.01,0.25,46601,-0.01,1.0e-5,0.0,50,46,0.0,2381222864,1961565488,1694758756,344806389,0.5
1000,1.0,0.01,0.25,691,-0.01,1.0e-5,0.0,50,1,0.0,3696435692,2029306580,2401884540,1694357443,5.0e-8
100,1.0,0.01,0.25,75207,-0.01,1.0e-5,0.0,50,15,0.0,2109264777,2356314722,2896356795,2590274924,0.5
1000,1.0,0.01,0.25,183,-0.01,1.0e-5,0.0,50,49,0.0,2039538987,1143181397,1730362325,1861822662,0.05
215,1.0,0.01,0.25,41787,-0.01,1.0e-5,0.0,50,7,0.0,2836083680,981224645,2721991553,2173231305,0.5
464,1.0,0.01,0.25,2627,-0.01,1.0e-5,0.0,50,41,0.0,1205463689,2167952572,319107869,56077641,5.0e-8
100,1.0,0.01,0.25,68172,-0.01,1.0e-5,0.0,50,22,0.0,2166948646,2055440274,1743313204,2064592207,0.5
100,1.0,0.01,0.25,31617,-0.01,1.0e-5,0.0,50,1,0.0,1082672628,621125407,2114425364,4014600612,5.0e-8
1000,1.0,0.01,0.25,9021,-0.01,1.0e-5,0.0,50,27,0.0,4111208507,227674654,3964968868,3690600277,0.5
215,1.0,0.01,0.25,17840,-0.01,1.0e-5,0.0,50,46,0.0,486050871,2704824487,2616197086,4240209938,0.05
464,1.0,0.01,0.25,31338,-0.01,1.0e-5,0.0,50,2,0.0,2173876004,3423307002,2611828023,3342332179,0.5
215,1.0,0.01,0.25,13388,-0.01,1.0e-5,0.0,50,35,0.0,2863702609,336266233,50104731,296895032,0.05
215,1.0,0.01,0.25,14229,-0.01,1.0e-5,0.0,50,15,0.0,310429915,2712588257,3729002533,1169746548,5.0e-8
464,1.0,0.01,0.25,21151,-0.01,1.0e-5,0.0,50,36,0.0,1526953318,168803717,2035491772,2450149954,0.5
215,1.0,0.01,0.25,19790,-0.01,1.0e-5,0.0,50,31,0.0,3827263987,4106825937,2107329334,3040076474,0.05
215,1.0,0.01,0.25,23219,-0.01,1.0e-5,0.0,50,12,0.0,862541976,1592998299,628661970,276992798,0.05
464,1.0,0.01,0.25,16371,-0.01,1.0e-5,0.0,50,10,0.0,3387093128,2689480112,2229787009,2400600884,0.05
215,1.0,0.01,0.25,17321,-0.01,1.0e-5,0.0,50,44,0.0,4089980721,3071130110,3470902842,412947864,5.0e-8
215,1.0,0.01,0.25,51942,-0.01,1.0e-5,0.0,50,38,0.0,95426165,4076170921,3192527606,2461236848,0.5
100,1.0,0.01,0.25,32737,-0.01,1.0e-5,0.0,50,45,0.0,3091992727,2864591260,4258128066,4215196388,0.05
215,1.0,0.01,0.25,50017,-0.01,1.0e-5,0.0,50,21,0.0,1408211615,201480539,2609573532,3839583015,0.5
215,1.0,0.01,0.25,50517,-0.01,1.0e-5,0.0,50,5,0.0,1253725568,260611280,2101744049,2159332919,0.5
464,1.0,0.01,0.25,22044,-0.01,1.0e-5,0.0,50,13,0.0,71341963,3130320464,2137183323,573217883,0.5
464,1.0,0.01,0.25,6686,-0.01,1.0e-5,0.0,50,12,0.0,3854753829,4096809109,1789303049,379741930,5.0e-8
464,1.0,0.01,0.25,7932,-0.01,1.0e-5,0.0,50,45,0.0,644008646,2602476626,162397109,2837268950,5.0e-8
464,1.0,0.01,0.25,15414,-0.01,1.0e-5,0.0,50,19,0.0,1322867981,1707292552,3195961386,399845712,0.05
1000,1.0,0.01,0.25,14225,-0.01,1.0e-5,0.0,50,24,0.0,623009113,3925940655,689892748,3474913943,0.5
100,1.0,0.01,0.25,62426,-0.01,1.0e-5,0.0,50,21,0.0,1315378792,1883039591,417135855,28240447,0.5
464,1.0,0.01,0.25,10367,-0.01,1.0e-5,0.0,50,27,0.0,2122854299,1981782174,3559984452,680617850,5.0e-8
215,1.0,0.01,0.25,21233,-0.01,1.0e-5,0.0,50,8,0.0,2293076023,3499180631,2930340766,1884629023,5.0e-8
100,1.0,0.01,0.25,33212,-0.01,1.0e-5,0.0,50,26,0.0,507717817,813270945,3285894272,3760191883,5.0e-8
